Unnamed: 0,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,review_year,review_month,availability_category
14469,740573290691773993,Modern&Luxury 2BR Condo/Infinity pool@BTS/Silom,221642164,Mary,Sathon,13.72032,100.52694,Entire home/apt,7485,6,2,2022-11-23,1.33,21,150,2,2022.0,11,Moderat (91-180 days)
14470,740580879837044772,Modern&Luxury 2BR Condo/Infinity pool@BTS/Silom,221642164,Mary,Bang Rak,13.72211,100.52492,Entire home/apt,8717,6,2,2022-12-09,1.54,21,175,2,2022.0,12,Moderat (91-180 days)
14471,737267689479873270,GIRLS only hostel (4 Beds) in Khao San Rd b,483119696,The Locals,Phra Nakhon,13.7599493,100.4928178,Shared room,388,1,1,2022-11-08,0.59,10,1,1,2022.0,11,Low (0-90 days)
14472,734705211051148743,Luxury room in condo with city view & facilities,482049727,Mikey,Khlong Toei,13.7162314640401,100.57484675198792,Private room,2029,7,5,2022-12-22,2.34,1,326,5,2022.0,12,Very High (271-365 days)
14473,737286534424707231,Luxury Rama9,185602387,Pluem,Huai Khwang,13.75584,100.56819,Private room,2000,5,1,2022-11-06,0.57,16,341,1,2022.0,11,Very High (271-365 days)
14475,737298955453759382,Bann Chanasongkram,483527115,พงศธร,Phra Nakhon,13.7612,100.49342,Private room,650,1,2,2022-12-04,0.92,1,363,2,2022.0,12,Very High (271-365 days)
14476,735020901032466661,Private Queen Fan Bedroom with Balcony,215302964,Anthony,Phra Khanong,13.69953,100.60132,Private room,685,3,2,2022-11-06,0.9,7,343,2,2022.0,11,Very High (271-365 days)
14477,737303174766454307,"39,Downtown Nana Phloinchit BTS, High Speed Wi-Fi",113954514,Priyanka And Amrish,Vadhana,13.74659,100.5522,Entire home/apt,967,1,9,2022-12-26,3.97,2,145,9,2022.0,12,Moderat (91-180 days)
14478,735078300082412001,Cozy apartment in the mids of fine dining areas,138438002,Win,Vadhana,13.73416,100.58221,Entire home/apt,3199,3,3,2022-12-12,1.55,6,358,3,2022.0,12,Very High (271-365 days)
14479,737304241187219763,15days!New!Bang Phlat MRT 600m/swiming pool/gym,201677068,Curry,Bang Phlat,13.7889383,100.5035996,Entire home/apt,883,15,1,2022-11-26,0.91,228,328,1,2022.0,11,Very High (271-365 days)
14480,735121182922470674,New!  city center / ASOK Station / 2PPL 1BR,314945555,Nana,Khlong Toei,13.723233,100.5611192,Entire home/apt,1919,1,3,2022-11-12,1.45,49,360,3,2022.0,11,Very High (271-365 days)
14481,737315858877175650,"Cozy Room-CloseBTS, Formosa Ratchayothin, BKK",385694484,Sirote,Chatu Chak,13.824943253232515,100.56817807406618,Private room,1000,30,1,2022-11-25,0.88,5,150,1,2022.0,11,Moderat (91-180 days)
14483,735151832351736868,1-mrt rame9 400m-Infinity pool/gym/shopping mall,67585919,Summer,Huai Khwang,13.7563,100.56658,Entire home/apt,1375,15,1,2022-10-20,0.43,25,90,1,2022.0,10,Low (0-90 days)
14486,735169789795739795,New!  city center / ASOK Station / 2PPL 1BR,201677068,Curry,Khlong Toei,13.723233,100.5611192,Entire home/apt,1919,1,3,2022-12-22,1.61,228,360,3,2022.0,12,Very High (271-365 days)
14487,735173911391649446,醉人天際廣闊美景/MRT Phra Rama 9 站/臨近夜市/超大型會所配套/地段優越/新落成,223789945,Key,Huai Khwang,13.75706,100.56915,Entire home/apt,1991,1,3,2022-12-10,1.5,2,334,3,2022.0,12,Very High (271-365 days)
14489,735193124129321429,1-mrt rame9 400m-Infinity pool gym shopping mall,416454376,Iwo,Huai Khwang,13.75572322630787,100.56752298182006,Entire home/apt,1375,15,5,2022-11-16,2.03,23,364,5,2022.0,11,Very High (271-365 days)
14490,735204670115793287,"Local artist home, Private Aircon Room*PetFriendly",11346360,Upside,Phasi Charoen,13.696052264867744,100.4324408993125,Private room,351,1,3,2022-12-07,1.53,2,365,3,2022.0,12,Very High (271-365 days)
